#{"t_start": 1788293058.8830578, "env_id": "None"}
r,l,t
-415.158559,167,149.929461
-418.602485,167,150.161318
-408.786002,167,150.393529
-449.098593,167,150.625674
-423.294358,167,150.857594
-419.390287,167,151.08932
-439.749828,167,151.321735
-451.770107,167,151.553385
-413.85195,167,151.860964
-448.00213,167,152.0973
-451.433178,167,152.329586
-427.757197,167,152.561602
-447.184768,167,152.794417
-416.561234,167,153.026568
-419.796385,167,153.258922
-415.909842,167,153.491278
-468.20783,167,153.726239
-407.121981,167,153.961446
-473.50966,167,154.197253
-438.981205,167,154.432457
-423.272539,167,154.739786
-430.355172,167,154.975962
-425.481127,167,155.212132
-454.350648,167,155.448455
-420.562467,167,155.684309
-445.862094,167,155.919641
-419.386929,167,156.155258
-413.793394,167,156.390931
-438.016313,167,156.627139
-433.492884,167,156.863946
-426.179458,167,157.103659
-441.245103,167,157.341529
-447.464791,167,157.65146
-412.994462,167,157.887867
-440.144158,167,158.123672
-436.667591,167,158.356681
-412.261391,167,158.588784
-415.214336,167,158.820924
-409.078559,167,159.052773
-484.902989,167,159.284948
-428.107525,167,159.516992
-447.044904,167,159.754382
-426.041076,167,159.990078
-434.619643,167,160.225535
-428.48447,167,160.46049
-421.718713,167,160.769642
-419.004572,167,161.01162
-424.392104,167,161.248889
-469.399267,167,161.495386
-442.757433,167,161.731867
-418.899351,167,161.966866
-414.260744,167,162.203361
-417.185147,167,162.438963
-427.853732,167,162.673785
-460.944496,167,162.9061
-419.420474,167,163.138475
-421.509594,167,163.370294
-444.208003,167,163.676838
-410.656064,167,163.909675
-432.176475,167,164.14221
-413.52382,167,164.37468
-417.260846,167,164.606429
-434.172608,167,164.838521
-501.211043,167,165.070491
-405.600191,167,165.303068
-415.489948,167,165.535675
-436.21207,167,165.767869
-435.236012,167,165.999967
-439.680986,167,166.231919
-400.694416,167,166.537848
-410.343459,167,166.774383
-411.129652,167,167.010622
-430.779704,167,167.246916
-396.884081,167,167.482349
-410.851629,167,167.718951
-404.490689,167,167.954254
-403.86962,167,168.190301
-405.646624,167,168.426268
-426.346711,167,168.66153
-435.364699,167,168.896607
-405.444951,167,169.131445
-412.448017,167,169.366289
-442.590737,167,169.672635
-492.808147,167,169.908572
-401.235515,167,170.144541
-435.30642,167,170.38035
-402.195636,167,170.61611
-400.679531,167,170.851274
-404.998062,167,171.086844
-416.016151,167,171.32216
-391.99541,167,171.55763
-411.773257,167,171.793083
-458.696689,167,172.028206
-422.029551,167,172.26377
-417.919073,167,172.573058
-392.585401,167,172.809618
-390.039788,167,173.04535
-418.202226,167,173.280976
-402.33976,167,173.516073
-401.302806,167,173.751367
-411.502373,167,173.986345
-442.774562,167,174.227295
-393.938253,167,174.462917
-408.151278,167,174.698994
-435.465633,167,174.934691
-412.841977,167,175.170597
-429.819748,167,175.485535
-405.112042,167,175.721491
-426.286518,167,175.957377
-429.343536,167,176.192996
-410.612263,167,176.428476
-386.245457,167,176.662922
-434.118154,167,176.896943
-399.873314,167,177.130426
-413.733532,167,177.366796
-411.508058,167,177.603115
-453.275039,167,177.840035
-447.683476,167,178.076408
-409.121884,167,178.385394
-402.799837,167,178.61792
-413.897949,167,178.853445
-389.047121,167,179.08886
-382.613176,167,179.324389
-439.28211,167,179.559468
-455.093706,167,179.794552
-438.511968,167,180.029452
-411.297228,167,180.264822
-415.52882,167,180.499677
-409.559306,167,180.73286
-416.48363,167,180.964535
-403.091923,167,181.197965
-434.758105,167,181.502781
-429.292928,167,181.7349
-407.233298,167,181.966424
-431.6099,167,182.198465
-407.747019,167,182.430306
-395.834213,167,182.662722
-404.436336,167,182.894623
-423.160028,167,183.126561
-431.025263,167,183.358492
-428.680294,167,183.589936
-393.842441,167,183.82167
-408.613802,167,184.053111
-408.317835,167,184.357955
-440.009172,167,184.589824
-406.180023,167,184.821602
-408.845762,167,185.053292
-385.975025,167,185.285899
-380.180071,167,185.518497
-393.502093,167,185.75086
-412.929401,167,185.984635
-399.900213,167,186.217754
-408.533031,167,186.449426
-383.849595,167,186.681241
-403.49795,167,186.912892
-440.934172,167,187.219456
-422.154552,167,187.451925
-395.343133,167,187.68407
-427.838913,167,187.915572
-450.260032,167,188.1472
-406.056909,167,188.378878
-404.515552,167,188.662373
-386.921063,167,188.898072
-408.678749,167,189.133007
-436.847543,167,189.368275
-415.060566,167,189.606328
-415.635032,167,189.845688
-412.147017,167,190.1559
-413.331338,167,190.392701
-410.110987,167,190.628533
-408.483097,167,190.865058
-405.275988,167,191.100241
-399.158713,167,191.333446
-407.5231,167,191.590319
-397.633456,167,191.826984
-400.187144,167,192.0618
-397.921904,167,192.296298
-407.464953,167,192.530537
-424.749399,167,192.765161
-415.135775,167,192.99911
-408.085216,167,193.309155
-409.096799,167,193.551125
-388.296788,167,193.791375
-423.31927,167,194.027887
-392.070756,167,194.264049
-385.170805,167,194.496784
-408.068041,167,194.729283
-438.721071,167,194.961485
-393.993374,167,195.196446
-437.303122,167,195.433231
-381.862023,167,195.669181
-399.833078,167,195.904955
-389.860464,167,196.213983
-410.202521,167,196.450667
-388.266679,167,196.686465
-383.121451,167,196.921962
-398.024473,167,197.158305
-404.094958,167,197.394157
-386.34663,167,197.629698
-419.178587,167,197.865911
-396.210152,167,198.102192
-392.340853,167,198.338279
-412.039816,167,198.573588
-382.605427,167,198.809145
-417.836573,167,199.11767
-383.95035,167,199.350736
-394.494844,167,199.582397
-390.883766,167,199.814393
-385.421132,167,200.045943
-403.273827,167,200.277844
-429.993615,167,200.509548
-397.100774,167,200.74129
-408.811288,167,200.972865
-427.297545,167,201.204823
-388.875057,167,201.436657
-397.996993,167,201.66816
-402.298047,167,201.972022
-391.850889,167,202.208321
-388.483626,167,202.443014
-392.313166,167,202.678564
-420.24969,167,202.913955
-377.831664,167,203.153446
-409.924519,167,203.386791
-390.23985,167,203.618806
-372.284737,167,203.850487
-392.831763,167,204.082375
-378.000049,167,204.324089
-400.016379,167,204.561861
-421.032366,167,204.79689
-379.906723,167,205.106475
-402.07261,167,205.343693
-388.036801,167,205.57973
-388.993014,167,205.814517
-367.886767,167,206.048744
-401.434175,167,206.283007
-383.387996,167,206.517242
-398.259719,167,206.750247
-406.804191,167,206.982374
-380.282677,167,207.214569
-391.288961,167,207.446613
-421.912387,167,207.679042
-384.543594,167,207.985583
-394.171138,167,208.221182
-395.548096,167,208.455827
-443.306667,167,208.689878
-401.368684,167,208.977029
-421.979218,167,209.212731
-381.500521,167,209.447837
-409.332551,167,209.682997
-413.996977,167,209.918463
-383.256447,167,210.159743
-376.613749,167,210.394901
-383.826507,167,210.631938
-419.988247,167,210.93907
-423.372515,167,211.189221
-401.794524,167,211.422177
-459.461454,167,211.654349
-379.910284,167,211.933895
-404.220049,167,212.168052
-405.045529,167,212.416194
-390.393218,167,212.658382
-389.04444,167,212.891862
-397.885244,167,213.12525
-374.938414,167,213.358748
-395.57014,167,213.591876
-376.502719,167,213.898023
-406.874482,167,214.134511
-384.18811,167,214.369935
-377.359985,167,214.604788
-491.987864,167,214.839727
-363.863731,167,215.075017
-398.29073,167,215.310761
-414.055182,167,215.546339
-384.638726,167,215.781523
-390.126763,167,216.016325
-395.800907,167,216.251333
-386.499987,167,216.486292
-411.282973,167,216.721013
-391.235475,167,217.02907
-401.6509,167,217.268438
-379.461585,167,217.501529
-389.774439,167,217.741159
-391.882047,167,217.975682
-374.215711,167,218.209969
-370.660388,167,218.442091
-406.967208,167,218.673872
-398.152011,167,218.914864
-386.416055,167,219.152771
-392.447024,167,219.38706
-370.12432,167,219.624118
-375.376942,167,219.93442
-397.000923,167,220.172124
-419.570427,167,220.408038
-364.539302,167,220.643639
-410.009792,167,220.8764
-391.55547,167,221.109059
-442.309853,167,221.341201
-399.856864,167,221.579996
-409.999646,167,221.81288
-390.755841,167,222.045094
-417.842823,167,222.277389
-373.575308,167,222.509314
-392.051023,167,222.81585
-378.975503,167,223.047708
-388.324982,167,223.279384
-389.65647,167,223.510493
-381.622647,167,223.742678
-426.436624,167,223.974153
-398.457202,167,224.20887
-358.639597,167,224.445062
-367.295754,167,224.680771
-383.714878,167,224.91611
-405.879981,167,225.151722
-401.403284,167,225.387833
-374.648034,167,225.624066
-368.412038,167,225.933397
-390.923645,167,226.169342
-388.494637,167,226.404788
-386.43868,167,226.639867
-370.960677,167,226.875001
-377.485294,167,227.110017
-402.803936,167,227.345124
-383.129957,167,227.579614
-389.914622,167,227.815121
-394.599318,167,228.049956
-379.032997,167,228.285403
-395.478355,167,228.519847
-385.569365,167,228.875506
-378.422892,167,229.107345
-382.485589,167,229.338798
-385.728441,167,229.569743
-402.380293,167,229.800966
-419.416567,167,230.031833
-391.293224,167,230.263418
-385.645934,167,230.494658
-386.57869,167,230.726266
-377.892477,167,230.957545
-383.952952,167,231.188811
-401.003115,167,231.420018
-379.125888,167,231.725791
-400.360851,167,231.958504
-367.620688,167,232.195381
-371.946556,167,232.431453
-400.452372,167,232.67577
-384.116357,167,232.913869
-424.01598,167,233.155392
-376.11725,167,233.529961
-396.011266,167,233.808771
-409.695587,167,234.049587
-371.301461,167,234.286992
-377.837554,167,234.525141
-436.161778,167,234.843507
-402.727406,167,235.077753
-380.009667,167,235.311287
-388.334851,167,235.54624
-371.906115,167,235.778214
-413.322012,167,236.009678
-382.697618,167,236.243469
-379.892966,167,236.476096
-401.207193,167,236.712297
-376.538233,167,236.948662
-383.116551,167,237.182277
-401.35577,167,237.420759
-377.299711,167,237.660359
-377.5017,167,237.972841
-391.733066,167,238.208491
-378.441109,167,238.446002
-397.608673,167,238.720174
-389.357116,167,238.973735
-380.009871,167,239.209925
-378.463942,167,239.446845
-398.446441,167,239.679392
-380.283877,167,239.9168
-401.629261,167,240.153932
-383.436259,167,240.397753
-389.466833,167,240.629863
-387.025552,167,240.938105
-366.182461,167,241.173617
-379.039805,167,241.405979
-384.018146,167,241.637935
-383.113521,167,241.870254
-367.025411,167,242.104232
-408.287198,167,242.335964
-383.437736,167,242.569773
-372.800148,167,242.803439
-383.284542,167,243.036369
-383.921521,167,243.273116
-383.405264,167,243.509954
-386.141001,167,243.818708
-404.938968,167,244.051747
-383.662593,167,244.284749
-383.887927,167,244.516869
-394.403849,167,244.749294
-367.78791,167,244.98092
-384.908409,167,245.213297
-370.240306,167,245.449447
-377.313219,167,245.681824
-380.543357,167,245.915313
-364.8651,167,246.151185
-366.13801,167,246.384182
-365.94873,167,246.699197
-365.928497,167,246.938164
-380.715317,167,247.175589
-365.847036,167,247.411623
-377.936052,167,247.648443
-358.154656,167,247.889497
-376.281888,167,248.131305
-379.669959,167,248.363499
-368.685007,167,248.59499
-368.991422,167,248.830098
-370.627764,167,249.071024
-370.679191,167,249.302875
-371.818393,167,249.53403
-400.381828,167,249.845068
-393.704544,167,250.082241
-364.27974,167,250.322071
-364.855597,167,250.557538
-415.396971,167,250.792928
-391.439619,167,251.028024
-394.237032,167,251.262822
-362.022842,167,251.498161
-368.011212,167,251.731653
-398.246259,167,251.968736
-388.339787,167,252.201086
-408.66408,167,252.435747
-383.10374,167,252.758305
-382.175592,167,252.994137
-409.458103,167,253.229242
-434.415214,167,253.467002
-359.473212,167,253.700942
-377.184356,167,253.932921
-363.817026,167,254.164935
-411.042654,167,254.39672
-385.5199,167,254.627865
-384.736836,167,254.859478
-375.929035,167,255.09151
-368.45914,167,255.32589
-408.298731,167,255.640026
-386.536596,167,255.876278
-396.724094,167,256.108814
-407.366801,167,256.344396
-406.975785,167,256.579164
-394.607983,167,256.813729
-387.855769,167,257.048988
-398.361886,167,257.284332
-390.116574,167,257.519726
-383.384576,167,257.755458
-390.745002,167,257.99001
-367.985124,167,258.226643
-392.663674,167,258.56954
-380.943057,167,258.804597
-395.071733,167,259.040006
